item	total	count part-1	specif part-1	count part-2	specif part-2
度	11	2	-1.02	9	1.02
普通	11	10	3.25	1	-3.25
cms	11	11	4.48	0	-4.48
33	11	5	0.67	6	-0.67
60	11	7	1.19	4	-1.19
（[	11	2	-1.02	9	1.02
思考	11	3	-0.73	8	0.73
更新	11	6	0.86	5	-0.86
34	11	5	0.67	6	-0.67
情報	11	4	0.62	7	0.62
q	11	10	3.25	1	-3.25
77	11	7	1.19	4	-1.19
学科	11	11	4.48	0	-4.48
ポイント	11	6	0.86	5	-0.86
総合	11	11	4.48	0	-4.48
entry	11	1	-1.52	10	1.52
肯定	11	6	0.86	5	-0.86
36	11	3	-0.73	8	0.73
amp	11	10	3.25	1	-3.25
一般	11	2	-1.02	9	1.02
使用	11	5	0.67	6	-0.67
予定	11	8	1.69	3	-1.69
D	11	10	3.25	1	-3.25
alternate	11	0	-2.38	11	2.38
やすい	11	0	-2.38	11	2.38
感動	11	0	-2.38	11	2.38
考察	11	0	-2.38	11	2.38
過度	11	0	-2.38	11	2.38
民生	11	0	-2.38	11	2.38
80	10	6	0.98	4	-0.98
たくさん	10	4	0.60	6	0.60
歌	10	10	4.07	0	-4.07
他	10	3	-0.65	7	0.65
言わ	10	2	-0.89	8	0.89
ところ	10	3	-0.65	7	0.65
に関して	10	1	-1.35	9	1.35
100	10	4	0.60	6	0.60
強く	10	2	-0.89	8	0.89
会員	10	3	-0.65	7	0.65
株式会社	10	7	1.42	3	-1.42
日々	10	7	1.42	3	-1.42
身	10	2	-0.89	8	0.89
目的	10	3	-0.65	7	0.65
とても	10	2	-0.89	8	0.89
任命	10	10	4.07	0	-4.07
等	10	10	4.07	0	-4.07
それぞれ	10	1	-1.35	9	1.35
京都	10	10	4.07	0	-4.07
絶望	10	10	4.07	0	-4.07
39	10	4	0.60	6	0.60
41	10	5	0.71	5	-0.71
42	10	5	0.71	5	-0.71
43	10	5	0.71	5	-0.71
願い	10	6	0.98	4	-0.98
plugins	10	10	4.07	0	-4.07
73	10	5	0.71	5	-0.71
咲く	10	10	4.07	0	-4.07
タイ	10	1	-1.35	9	1.35
89	10	7	1.42	3	-1.42
saga	10	10	4.07	0	-4.07
ref	10	4	0.60	6	0.60
ビジョン	10	9	2.88	1	-2.88
際	10	1	-1.35	9	1.35
事業	10	10	4.07	0	-4.07
blog	10	9	2.88	1	-2.88
93	10	6	0.98	4	-0.98
svg	10	9	2.88	1	-2.88
donate	10	6	0.98	4	-0.98
ファイル	10	7	1.42	3	-1.42
116	10	6	0.98	4	-0.98
117	10	6	0.98	4	-0.98
年間	10	6	0.98	4	-0.98
卒業	10	10	4.07	0	-4.07
見込	10	10	4.07	0	-4.07
最高	10	7	1.42	3	-1.42
－	10	2	-0.89	8	0.89
動き	10	9	2.88	1	-2.88
事	10	3	-0.65	7	0.65
頃	10	8	2.04	2	-2.04
感覚	10	4	0.60	6	0.60
すぎ	10	1	-1.35	9	1.35
of	10	7	1.42	3	-1.42
しまっ	10	1	-1.35	9	1.35
V	10	1	-1.35	9	1.35
ほっ	10	10	4.07	0	-4.07
かい	10	10	4.07	0	-4.07
写真	10	10	4.07	0	-4.07
価格	10	3	-0.65	7	0.65
生まれ	10	4	0.60	6	0.60
義肢	10	10	4.07	0	-4.07
表す	10	0	-2.16	10	2.16
側面	10	0	-2.16	10	2.16
示す	10	0	-2.16	10	2.16
二つ	10	0	-2.16	10	2.16
salon	10	0	-2.16	10	2.16
コントロール	10	0	-2.16	10	2.16
40089	10	0	-2.16	10	2.16
もちろん	10	0	-2.16	10	2.16
日経	10	0	-2.16	10	2.16
米国	10	0	-2.16	10	2.16
利下げ	10	0	-2.16	10	2.16
職場	10	0	-2.16	10	2.16
oosakinaoto	10	0	-2.16	10	2.16
奥田	10	0	-2.16	10	2.16
購入	9	9	3.66	0	-3.66
待機	9	9	3.66	0	-3.66
列	9	9	3.66	0	-3.66
実施	9	7	1.72	2	-1.72
概要	9	9	3.66	0	-3.66
形成	9	1	-1.18	8	1.18
web	9	5	0.80	4	-0.80
哲学	9	8	2.52	1	-2.52
テーマ	9	4	0.61	5	-0.61
苫	9	9	3.66	0	-3.66
気	9	5	0.80	4	-0.80
あまり	9	4	0.61	5	-0.61
確か	9	4	0.61	5	-0.61
使う	9	4	0.61	5	-0.61
無理	9	6	1.17	3	-1.17
こんな	9	1	-1.18	8	1.18
読ん	9	2	-0.77	7	0.77
計画	9	5	0.80	4	-0.80
いま	9	3	0.59	6	0.59
まず	9	2	-0.77	7	0.77
求める	9	3	0.59	6	0.59
周り	9	2	-0.77	7	0.77
行う	9	3	0.59	6	0.59
都道府県	9	9	3.66	0	-3.66
東京	9	6	1.17	3	-1.17
花	9	9	3.66	0	-3.66
95	9	6	1.17	3	-1.17
佐賀	9	9	3.66	0	-3.66
一文字	9	9	3.66	0	-3.66
町	9	9	3.66	0	-3.66
話題	9	7	1.72	2	-1.72
social	9	9	3.66	0	-3.66
lineit	9	9	3.66	0	-3.66
豊か	9	4	0.61	5	-0.61
84	9	7	1.72	2	-1.72
90	9	5	0.80	4	-0.80
選択	9	4	0.61	5	-0.61
伝え	9	1	-1.18	8	1.18
聞く	9	6	1.17	3	-1.17
ケース	9	3	0.59	6	0.59
変え	9	2	-0.77	7	0.77
目次	9	2	-0.77	7	0.77
個	9	6	1.17	3	-1.17
参考	9	1	-1.18	8	1.18
瞬間	9	7	1.72	2	-1.72
感謝	9	3	0.59	6	0.59
高等	9	9	3.66	0	-3.66
前年度	9	9	3.66	0	-3.66
子供	9	3	0.59	6	0.59
i	9	1	-1.18	8	1.18
コラム	9	3	0.59	6	0.59
／	9	6	1.17	3	-1.17
若者	9	9	3.66	0	-3.66
日本語	9	1	-1.18	8	1.18
post	9	2	-0.77	7	0.77
役割	9	1	-1.18	8	1.18
方向	9	1	-1.18	8	1.18
せる	9	1	-1.18	8	1.18
管理	9	1	-1.18	8	1.18
政治	9	8	2.52	1	-2.52
府議	9	9	3.66	0	-3.66
政権	9	2	-0.77	7	0.77
プリント	9	9	3.66	0	-3.66
完全	9	1	-1.18	8	1.18
どちら	9	0	-1.94	9	1.94
バランス	9	0	-1.94	9	1.94
無	9	0	-1.94	9	1.94
面	9	0	-1.94	9	1.94
archives	9	0	-1.94	9	1.94
認識	9	0	-1.94	9	1.94
2022	9	0	-1.94	9	1.94
求め	9	0	-1.94	9	1.94
対応	9	0	-1.94	9	1.94
欲しい	9	0	-1.94	9	1.94
消費	9	0	-1.94	9	1.94
否定	9	0	-1.94	9	1.94
psychology	9	0	-1.94	9	1.94
待つ	9	0	-1.94	9	1.94
過剰	9	0	-1.94	9	1.94
グッズ	8	8	3.26	0	-3.26
てる	8	3	0.55	5	0.55
やっぱり	8	5	0.93	3	-0.93
しっかり	8	6	1.43	2	-1.43
まずは	8	5	0.93	3	-0.93
全員	8	6	1.43	2	-1.43
とか	8	4	0.65	4	-0.65
ちょっと	8	8	3.26	0	-3.26
ほぼ	8	1	-1.02	7	1.02
考え方	8	1	-1.02	7	1.02
声	8	7	2.16	1	-2.16
胸	8	8	3.26	0	-3.26
手	8	3	0.55	5	0.55
うまく	8	2	-0.66	6	0.66
生きる	8	6	1.43	2	-1.43
全国	8	8	3.26	0	-3.26
講座	8	1	-1.02	7	1.02
活躍	8	3	0.55	5	0.55
区	8	7	2.16	1	-2.16
もと	8	5	0.93	3	-0.93
コメント	8	3	0.55	5	0.55
４	8	4	0.65	4	-0.65
※	8	5	0.93	3	-0.93
＆	8	7	2.16	1	-2.16
キャリア	8	5	0.93	3	-0.93
ゲーム	8	7	2.16	1	-2.16
知ら	8	2	-0.66	6	0.66
超え	8	2	-0.66	6	0.66
サイト	8	4	0.65	4	-0.65
分	8	3	0.55	5	0.55
87	8	5	0.93	3	-0.93
88	8	6	1.43	2	-1.43
92	8	5	0.93	3	-0.93
明確	8	2	-0.66	6	0.66
今後	8	5	0.93	3	-0.93
部分	8	2	-0.66	6	0.66
判断	8	1	-1.02	7	1.02
97	8	4	0.65	4	-0.65
提供	8	5	0.93	3	-0.93
向上	8	1	-1.02	7	1.02
使い方	8	2	-0.66	6	0.66
·	8	8	3.26	0	-3.26
139	8	7	2.16	1	-2.16
望む	8	1	-1.02	7	1.02
女性	8	4	0.65	4	-0.65
しまい	8	1	-1.02	7	1.02
悪い	8	2	-0.66	6	0.66
愛	8	4	0.65	4	-0.65
足	8	4	0.65	4	-0.65
機能	8	5	0.93	3	-0.93
en	8	3	0.55	5	0.55
出来事	8	2	-0.66	6	0.66
returnto	8	4	0.65	4	-0.65
98	8	4	0.65	4	-0.65
99	8	3	0.55	5	0.55
Special	8	4	0.65	4	-0.65
Q	8	5	0.93	3	-0.93
105	8	3	0.55	5	0.55
114	8	4	0.65	4	-0.65
115	8	4	0.65	4	-0.65
Category	8	6	1.43	2	-1.43
県内	8	8	3.26	0	-3.26
調べ	8	7	2.16	1	-2.16
うち	8	3	0.55	5	0.55
学び	8	6	1.43	2	-1.43
新年	8	7	2.16	1	-2.16
来	8	2	-0.66	6	0.66
環境	8	3	0.55	5	0.55
決して	8	2	-0.66	6	0.66
まだ	8	3	0.55	5	0.55
楽	8	1	-1.02	7	1.02
むしろ	8	2	-0.66	6	0.66
費	8	8	3.26	0	-3.26
ためし	8	8	3.26	0	-3.26
さいたま	8	8	3.26	0	-3.26
高額	8	7	2.16	1	-2.16
先発	8	8	3.26	0	-3.26
化	8	1	-1.02	7	1.02
1000	8	5	0.93	3	-0.93
ワールド	8	8	3.26	0	-3.26
演奏	8	1	-1.02	7	1.02
候補	8	8	3.26	0	-3.26
訴え	8	8	3.26	0	-3.26
高市	8	2	-0.66	6	0.66
サービス	8	2	-0.66	6	0.66
そもそも	8	0	-1.73	8	1.73
国語	8	0	-1.73	8	1.73
存在	8	0	-1.73	8	1.73
想定	8	0	-1.73	8	1.73
